mal_id,name,birthday,favorites,about,main_picture
118,Hiroshi Kamiya,1975-01-28 00:00:00+00:00,102842,"Birth place: Matsudo, Chiba Prefecture, Japan
Height: 167 cm (5'6"")
Weight: 53 kg (117 lbs)
Blood type: A

Kamiya Hiroshi went to Aoni Juku and decided to pursue voice acting. Since then, he's been affiliated with Aoni Production from his debut in 1994 to present.

Kamiya Hiroshi hosts several radio programs, one of the oldest and most prevalent programs he hosts together with a fellow seiyuu Ono Daisuke is Kamiya Hiroshi Ono Daisuke no DearGirl: Stories (神谷浩史・小野大輔のDearGirl～Stories～) since April 2007. The program they hosted together won ""Best Personality Awards"" in the 9th Annual Seiyuu Awards in 2015.

He and Ono Daisuke are vocalists of MasochistiC Ono BanD (MOB) that debuted in Nippon Budoukan in 2013 through the DearGirl: Stories Festival Carnival Matsuri. MOB went on hiatus in 2015 but the band announced their coming back on the 10th-anniversary celebration of his and Ono Daisuke's radio program, that was held on July 25, 2016.

In May 2010, he and Miyu Irino banded a Kiramune-unit called KAmiYU, for Mokei Senshi Gunpla Builders Beginning G theme song. First Mini-album ""link-up"" was released on August 3, 2011.

Awards:
- 2nd Seiyuu Awards (2008) - Best Supporting Actor Award
- 3rd Seiyuu Awards (2009) - Best Actor and Best Personality Awards
- Tokyo Anime Awards (2010) - Voice Actor Award
- 6th Seiyuu Awards (2012) - Most Votes Award
- 7th Seiyuu Awards (2013) - Most Votes Award
- 8th Seiyuu Awards (2014) - Most Votes Award
- 9th Seiyuu Awards (2015) - Best Personality and Most Votes Awards
- 10th Seiyuu Awards (2016) - Most Votes Award - winning the award for 5 consecutive times earned him induction into Seiyuu Awards' Hall of Fame
- 13th Seiyuu Awards (2019) - Most Votes Award
- 14th Seiyuu Awards (2020) - Most Votes Award

Profile: https://www.aoni.co.jp/search/kamiya-hiroshi.html",https://cdn.myanimelist.net/images/voiceactors/1/66163.jpg
185,Kana Hanazawa,1989-02-25 00:00:00+00:00,98551,"Hometown: Tokyo, Japan
Height: 156 cm
Blood type: AB

Kana Hanazawa used to be a junior idol in Akiba where hundreds of people came to watch her, which is how she got her breakthrough for her acting career in commercials before becoming a voice actor.

The Office Osawa talent agency represents her.

Married to the voice actor Kensho Ono.

Radio page: http://www.joqr.co.jp/blog/hanazawa/
Twitter (staff): @hanazawa_staff
Twitter (radio): @hitokana_qr
Youtube: @Kana Hanazawa
Instagram: @hanazawa_kana.official
tiktok: @hanazawa_kana.official",https://cdn.myanimelist.net/images/voiceactors/3/69318.jpg
65,Mamoru Miyano,1983-06-08 00:00:00+00:00,86081,"Hometown: Saitama, Japan
Height: 182 cm
Weight: 70 kg
Blood type: B
Hobbies: singing, soccer
Skills: harmonica, harp

Mamoru Miyano won Best Voice Actor award in the Second Seiyuu Awards for leading roles of Kida Masaomi (Durarara!!), Setsuna F Seiei (Mobile Suit Gundam 00) and Hakugen Rikuson (Koutetsu Sangokushi). He married in late 2008; 2-3 months after his announcement, their son was born.

Profile: Himawari
LINE: 宮野真守
Facebook: @Mamoru Miyano（宮野真守）
YouTube: @Mamoru Miyano
Twitter: @miyanomamoru_PR",https://cdn.myanimelist.net/images/voiceactors/1/66414.jpg
672,Yuuki Kaji,1985-09-03 00:00:00+00:00,71095,"Blood type: O
Height: 170 cm
Nicknames: Kajikaji, Kajiyan, Yuu-tan, Kazzui, Kaji-kyun
Pets: hamster named Shiru

Born in Tokyo, Grew up in Saitama. Has a younger sister. He moved from Artsvision to VIMS on October 1, 2013, and his official site has been shut down on May 21, 2015.

Married to fellow seiyuu Ayana Taketatsu on June 23, 2019.

Awards:
- Best New Actor Award at the 3rd Seiyuu Awards in 2009
- Best Male Lead Role Award at the 7th Seiyuu Awards in 2013
- Best Male Lead Role Award at the 8th Seiyuu Awards in 2014

Twitter:
@KAJI__OFFICIAL (main)
@kaji1134 (A&amp;G+ Radio Show)
@YUKI_KAJI (inactive)

Profile: Lantis, VIMS",https://cdn.myanimelist.net/images/voiceactors/2/66416.jpg
1870,Hayao Miyazaki,1941-01-05 00:00:00+00:00,66679,"Miyazaki, the second of four brothers, was born in the town of Akebono-cho, part of Tokyo's Bunkyō-ku. During World War II, Miyazaki's father Katsuji was director of Miyazaki Airplane, owned by his brother (Hayao Miyazaki's uncle), which made rudders for A6M Zero fighter planes. During this time, Miyazaki drew airplanes and developed a lifelong fascination with aviation, a penchant that later manifested as a recurring theme in his films.

Miyazaki's mother was a voracious reader who often questioned socially accepted norms. Miyazaki later said that he inherited his questioning and skeptical mind from her. His mother underwent treatment for spinal tuberculosis from 1947 until 1955, and so the family moved frequently. Miyazaki's film My Neighbor Totoro is set in that time period and features a family whose mother is similarly afflicted.

Miyazaki attended Toyotama High School. In his third year there, he saw the film Hakujaden, which has been described as ""the first-ever Japanese feature length color anime."" His interest in animation began in this period; however, in order to become an animator, he had to learn to draw the human figure, since his prior work had been limited to airplanes and battleships.

After high school, Miyazaki attended Gakushuin University, from which he would graduate in 1963 with degrees in political science and economics. He was a member of the ""Children's Literature research club,"" the ""closest thing to a comics club in those days.""

In April 1963, Miyazaki got a job at Toei Animation, working as an in-between artist on the anime Watchdog Bow Wow (Wanwan Chushingura). He was a leader in a labor dispute soon after his arrival, becoming chief secretary of Toei's labor union in 1964.

In October 1965, he married fellow animator Akemi Ota, who later left work to raise their two sons, Gorō and Keisuke. Gorō is now an animator and filmmaker, and has directed Tales from Earthsea at Studio Ghibli. Keisuke is a wood artist who has created pieces for the Ghibli Museum and who made the wood engraving shown in the Studio Ghibli film Whisper of the Heart.

Hayao Miyazaki's dedication to his work has often been reported to have impacted negatively his relationship with his son Gorō. He has expressed that he doesn't wish to create a dynasty of animators and that his son has to create a name for himself.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/voiceactors/1/54606.jpg
869,Saori Hayami,1991-05-29 00:00:00+00:00,56243,"Real name: Saori Matsuo (松尾 沙織)
Blood type: AB
Height: 164 cm
Hometown: Tokyo, Japan

Member of duet ""Blue Drops"" with Yoshida Hitomi.

Twitter: @hayami_official
Profile: imenterprise.jp/data.ph...",https://cdn.myanimelist.net/images/voiceactors/1/66041.jpg
1881,Eiichiro Oda,1975-01-01 00:00:00+00:00,47103,"Hometown: Kumamoto, Japan
Blood type: A
Favourite Animal: Big gentle dogs
Favourite Mangaka: Akira Toriyama
Favourite Music: '70s soul music
Favourite Real-Life Pirate: Edward Teach (Blackbeard)
Favourite Video Game: Puyo Puyo

- Eiichiro Oda was formerly Nobuhiro Watsuki's assistant alongside Hiroyuki Takei. He was also Shinobu Kaitani's assistant.
- Eiichiro Oda is married to Chiaki Inaba, who had played Nami during Jump Festa One Piece stage performances.
- In a recent Japanese fan poll, Eiichiro Oda is currently ranked the 48th Most Popular Character in One Piece, despite the fact that he has never included himself in any issue of the manga (excluding SBS).
- He voiced the character ""Odacchi"" in a soccer-themed short that aired with the 3rd One Piece Movie. ""Odacchi"" is Oda's nickname, and he played soccer when he was younger.
- Oda is a fan of rapper Eminem, filmmaker Quentin Tarantino and Tim Burton.
- Oda's 3 favorite movies are Seven Samurai, The Nightmare Before Christmas, and Young Guns.
- According to Oda in an interview for US Shonen Jump, his favorite villain in One Piece is Buggy the Clown (he joked that he literally threw him together).",https://cdn.myanimelist.net/images/voiceactors/2/10593.jpg
212,Daisuke Ono,1978-05-04 00:00:00+00:00,47064,"Blood Type: O
Height: 175 cm (5'8.9"")
Weight: 65 kg (143 lbs)

Ono Daisuke was affiliated with Aoni Production through its voice acting school and Mausu Promotion as his agency since the start of his voice acting career since 2001. As of February 1, 2016, he became a freelance. He also hosted MAG Net between April 2014 to March 2013 with fellow seiyuu Saori Gotou.

Together with a fellow seiyuu Kamiya Hiroshi, he is the host of 神谷浩史・小野大輔のDear Girl ～Stories～ which is one of the oldest and one of the most prevalent seiyuu-hosted radio programs. He has hosted various other programs including Ono Daisuke, Kondou Takayuki no Yume Bouken -Dragon&amp;Tiger- with seiyuu Takayuki Kondou.

He formed the air band ""MASOCHISTIC ONO BAND"" with Kamiya Hiroshi that debuted at Nippon Budoukan in 2013, whose personnel consist of the staff of DGS radio program.

He was part of the ""D.A.T"" singing unit with Takayuki Kondou between 2011 to 2020; ""D.A.T"" sings in the annual ""Marine Super Wave Live."" They restarted activity as TRD in 2021 with YouTube Show and released a CD on June 16, 2021.

He is the leader of ""DABA,"" a project created in 2008 bringing together Fukuyama Jun, Hino Satoshi, Tachibana Shinnosuke, Suganuma Hisayoshi, Majima Junji and Kondo Takayuki, they are all male voice actors born in 1978. In addition, he is also a part of the singing sub unit of ""DABA""; ""CABA,"" active since 2014.

He is the leader and host of the annual OrePara live (founded in 2008), with Suzumura Kenichi, Morikubo Showtaro &amp; Terashima Takuma (replacing Iwata Mitsuo from 2014 onward).

In DGS radio program, he has admitted that he is not fond of cats because of his unpleasant childhood experience with them. This is quite ironic considering his character in Kuroshitsuji, Sebastian Michaelis, is obsessed with cats. However, it seems that Ono Daisuke has no problem at all with Nyanko-sensei or Nya-san, a cat that belongs to his fellow seiyuu Kamiya Hiroshi.

He dislikes raisins, but loves Chinese noodles, nuts and almonds. He has a certain fascination in Buddha statue. The first time he saw the biggest Buddha statue in the world was on his birthday celebration in Ushiku-shi, a place he had wanted to visit, which is also Kamiya Hiroshi's hometown.

Awards :
2nd Seiyuu Awards (2008) - Best Supporting Actor
4th Seiyuu Awards (2010) - Best Actor
9th Seiyuu Awards (2015) - Best Actor &amp; Best Personality
Tokyo Anime Awards (2015) - Best Voice Actor

Lantis profile: http://www.lantis.jp/
Instagram: @ono.daisuke
Twitter: @onoDofficial
YouTube: 小野大輔",https://cdn.myanimelist.net/images/voiceactors/1/54593.jpg
34785,Rie Takahashi,1994-02-27 00:00:00+00:00,45985,"Birth place: Saitama Prefecture, Japan

She is a part of the seiyuu unit Earphones, which was created during the production of Sore ga Seiyuu and the members are comprised of herself, Marika Kouno and Yuki Nagaku.
 
Twitter: @taka8rie

Instagram: @riery_syame",https://cdn.myanimelist.net/images/voiceactors/2/62615.jpg
2,Tomokazu Sugita,1980-10-11 00:00:00+00:00,44853,"Hometown: Saitama, Japan
Blood type: B
Height: 178 cm
Weight: 57 kg

Twitter: @sugitaLOV
Staff Twitter: @AGRS_staff",https://cdn.myanimelist.net/images/voiceactors/2/60638.jpg
